ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN06-105 2006 Female J 27 NA 43 0 0 0
CN06-106 2006 Male J 26 NA 46 1 4 5
CN06-106 2007 Male A 42.4113023731567 0.122 59.5 0 0 0
CN06-107 2006 Male J 26.5 NA 49.5 0 0 0
CN06-108 2006 Female A 43.3096202363581 NA 54.5 0 0 0
CN06-109 2006 Female J 28.1666666666667 NA 44 1 1 2
CN06-109 2007 Female A 46.5086561655318 0.115 58 0 0 0
CN06-110 2006 Female J 29.5714285714286 NA 53 1 4 5
CN06-110 2007 Female A 46.5086561655318 0.114 59 0 0 0
CN06-111 2006 Female J 27 NA 42 0 0 0
CN06-113 2006 Male J 22 NA 43.5 0 0 0
CN06-114 2006 Male A 35.9726832377016 NA 54.5 0 0 0
CN06-115 2006 Female J 29.6666666666667 NA 46 0 0 0
CN06-116 2008 Female A 42.6615296600279 0.119 60.6666666666667 0 0 0
CN06-116 2007 Female A 35.1374497840229 0.113555555555556 58.7777777777778 1 0 1
CN06-116 2006 Female J 28 NA 46.5 1 6 7
CN06-117 2006 Female J 30.5 NA 50 0 0 0
CN06-118 2006 Male J 30 NA 52 0 0 0
CN06-119 2007 Female A 37.1017626968793 0.116 61.5 0 0 0
CN06-119 2006 Female J 28.25 NA 48 1 4 5
CN06-120 2006 Male J 28 NA 53 0 0 0
CN06-121 2006 Female J 24.5 NA 42 0 0 0
CN06-122 2006 Female A 34.07441558895 NA 56 0 0 0
CN06-123 2006 Male J 22.25 NA 40 0 0 0
CN06-124 2007 Male A 40.6430975098692 0.1156 58 0 0 0
CN06-124 2006 Male J 26.25 NA 46 1 8 9
CN06-126 2006 Female A 32.4719883655903 NA 57 0 0 0
CN06-127 2006 Male J 25.5 NA 46 0 0 0
CN06-128 2007 Male A 38.0979362194086 0.1188 55.4 0 0 0
CN06-128 2006 Male J 28.3333333333333 NA 45 1 3 4
CN06-129 2006 Female J 28.5 NA 45 1 0 1
CN06-129 2007 Female A 39.2451452678275 0.114444444444444 57.7777777777778 0 0 0
CN06-130 2006 Male J 21 NA 41.5 0 0 0
CN06-132 2006 Male A 44.5508921552537 NA 62 0 0 0
CN06-133 2007 Female A 33.4277271868996 0.1125 51.5 0 0 0
CN06-133 2006 Female J 25 NA 42 1 0 1
CN06-134 2006 Male J 24 NA 45 0 0 0
CN06-135 2006 Male J 11 NA NA 0 0 0
